FirstName,LastName,Gender,DateOfBirth,PhoneNumber,BirthPlace,IsGraduated
Luis,Spalls,1,1994/01/12,446-942-3366,54626 Eliot Circle,true
Van,Sweating,2,1991/11/15,243-193-3651,5 Everett Alley,false
Peter,Sparrowhawk,1,1992/03/24,685-519-2058,4810 7th Point,true
Jeralee,Narey,1,1991/01/22,612-874-6529,8892 Hooker Drive,true
Dorris,MacDearmid,0,1992/05/22,840-740-8964,1 Fairfield Place,false
Cara,Keher,2,1998/04/03,421-448-0016,44 Briar Crest Avenue,true
Hobard,Jedrasik,2,1993/12/06,879-245-6672,0392 Cottonwood Crossing,false
Kandace,Newnham,1,1994/06/11,964-146-2631,44496 Maywood Park,false
Shelli,Bertwistle,2,2002/02/14,210-873-6400,14380 Rockefeller Parkway,true
Marianna,Kenneford,2,1992/08/20,481-582-4454,7188 Hollow Ridge Point,true
Bengt,Kemble,0,1999/07/26,374-427-9821,28463 Paget Junction,false
Bernadene,Dauber,2,1994/01/02,795-916-9587,8 Eliot Street,true
Manya,Hasel,2,1992/02/03,999-526-3894,56972 Del Sol Avenue,true
Jarret,Hamal,2,2000/12/01,186-728-0712,18 South Pass,true
Khalil,McAlester,2,1999/07/02,172-992-0987,71017 Chive Court,false
Blythe,Allred,0,1990/06/07,965-484-0023,6387 Barby Lane,true
Annette,Tordiffe,2,1995/06/21,264-965-3712,22072 Scott Plaza,true
Otis,Trussell,2,1993/07/30,422-136-5496,78 Shelley Street,false
Harper,Ennew,2,1990/09/14,612-763-5299,100 Hudson Park,false
Jefferson,Pond-Jones,2,2001/10/09,814-386-6258,78 Bay Point,false
Marget,Scullard,2,1994/11/02,293-359-4963,50 Pleasure Place,false
Guglielma,Merrikin,1,1991/12/03,931-626-2240,09823 Stone Corner Point,false
Waldo,Trematick,1,1990/07/12,499-952-3572,39349 Chive Court,true
Rourke,Oliva,1,2000/07/12,315-930-6537,41 Eagan Plaza,true
Patin,Jarry,2,1990/10/22,746-670-5855,64 Sundown Crossing,false
Irvine,Hulcoop,1,1996/05/18,809-334-3446,25228 Tennyson Parkway,false
Morty,Burbage,1,1995/02/18,731-198-8548,0 Derek Terrace,false
Kelley,Kemet,2,1995/11/19,225-899-0183,39 Artisan Hill,false
Niels,Tranter,0,1992/03/10,215-926-5611,060 Arizona Way,true
Anthe,Isacoff,1,1995/10/05,672-685-6359,0 Paget Trail,true
Pascale,Shallcrass,2,1995/10/09,562-354-9958,5 Beilfuss Crossing,true
Roselia,Bilbrook,1,1991/12/11,245-518-5227,9 Grayhawk Drive,true
Sonny,Upwood,1,1993/10/05,558-749-3784,4 Cody Plaza,false
Leslie,Fitchet,1,1993/09/08,301-807-1569,45 Coolidge Court,true
Aldis,Durtnal,1,1998/11/20,865-124-1077,20 Lake View Circle,true
Conrado,Gniewosz,1,1998/08/29,620-464-0691,453 Pawling Crossing,true
Barbi,Hyett,2,2001/05/30,331-754-9940,6581 Little Fleur Terrace,true
Stern,Leindecker,2,1992/01/27,899-823-5467,497 Elgar Point,true
Lorinda,Tames,1,2000/11/01,499-606-3372,20328 Cherokee Parkway,true
Garwin,Labell,0,1998/01/26,187-627-6087,9 Mendota Street,false
Isahella,Stitle,0,1994/01/25,182-788-1278,612 Di Loreto Crossing,true
Marty,Shimmin,2,1998/09/24,548-748-0809,8 South Lane,false
Mellie,Mathevon,1,1993/07/03,525-252-3166,4177 Maryland Way,false
Siffre,Corsan,1,1994/05/08,597-478-9834,59171 Larry Trail,false
Nefen,Baskeyfied,2,1996/02/07,637-331-9585,543 Prairieview Alley,false
Zedekiah,Gorke,0,1996/01/25,176-934-4956,087 Nevada Point,false
Deva,Mortlock,2,1999/07/21,399-977-4333,9 Donald Pass,true
Anallise,Scolts,1,1991/06/12,672-945-1232,5 Oak Valley Street,false
Anastasie,Bullier,2,2002/04/23,808-518-9750,7852 Grim Drive,true
Jeno,Blest,0,1993/08/27,286-505-2623,576 Esker Way,true
Alis,Fattore,1,1992/06/04,349-138-5443,9 Debra Drive,false
Ericha,Bamber,2,1993/02/10,913-467-5512,316 Lotheville Point,true
Andonis,Videler,2,1990/12/20,124-783-0800,60329 Summer Ridge Street,true
Melvin,Smallcomb,2,1992/10/04,754-797-0197,4247 Goodland Road,false
Claudetta,Robiot,0,1996/09/03,186-687-2590,260 Jenna Crossing,false
Nevins,Lankester,2,1994/04/24,402-322-8837,3 Veith Junction,true
Natale,Felce,1,1993/05/30,907-910-8917,95 Buhler Point,true
